iter	RMSE
0	0.1381404964
1	0.1349422847
2	0.1318755587
3	0.1290138364
4	0.1263399301
5	0.1234047675
6	0.1206628033
7	0.1182528744
8	0.1158097508
9	0.1132870815
10	0.1108358659
11	0.1086279215
12	0.1065786153
13	0.1044550998
14	0.1025602098
15	0.1006829856
16	0.09911385865
17	0.09738837414
18	0.09573062888
19	0.09405605155
20	0.09241468333
21	0.09089851681
22	0.08936686953
23	0.08805584715
24	0.08671232475
25	0.08546161849
26	0.0842551695
27	0.08308021666
28	0.08187232904
29	0.08080706328
30	0.07970537329
31	0.07860463006
32	0.07760892282
33	0.07654163426
34	0.07569466189
35	0.07478130093
36	0.07387943513
37	0.07312284842
38	0.07232525975
39	0.07156457168
40	0.07101292993
41	0.07039470522
42	0.06973320596
43	0.06905289099
44	0.06844729182
45	0.06780465922
46	0.06723509284
47	0.06665204462
48	0.06610932264
49	0.06558522185
50	0.06507196338
51	0.06468872388
52	0.06418268785
53	0.06372368913
54	0.06327262716
55	0.06287120159
56	0.06246531433
57	0.06206490605
58	0.06174787182
59	0.06136771091
60	0.06099385038
61	0.06064313373
62	0.06029961857
63	0.05992327569
64	0.05966789107
65	0.05941199894
66	0.05916614158
67	0.05892164024
68	0.05871520097
69	0.05851517526
70	0.05822397384
71	0.05794754785
72	0.05771349509
73	0.05749060269
74	0.05733279246
75	0.05721225644
76	0.05696728976
77	0.05674750058
78	0.05660151665
79	0.05650247852
80	0.05634112943
81	0.05618897511
82	0.0560426073
83	0.05585592335
84	0.05574269166
85	0.05559489621
86	0.05535889787
87	0.05514178894
88	0.05503358587
89	0.05488997913
90	0.05470885222
91	0.05455166376
92	0.05440838793
93	0.0542073855
94	0.05404508671
95	0.0539226087
96	0.05380608091
97	0.05367541434
98	0.05357625454
99	0.0535056827
100	0.05337385267
101	0.05323601771
102	0.05315607332
103	0.05307772063
104	0.05300707982
105	0.05288984544
106	0.05284300511
107	0.05272814862
108	0.05261563929
109	0.05251467346
110	0.05249387815
111	0.05237564518
112	0.05229597551
113	0.05221965325
114	0.05210034069
115	0.05197535572
116	0.05195243848
117	0.05186480036
118	0.05172570793
119	0.05160807361
120	0.05155465013
121	0.05141589197
122	0.05128664788
123	0.05118098589
124	0.05108123439
125	0.05097553723
126	0.05090244727
127	0.05083961981
128	0.05070072206
129	0.05064068457
130	0.05059052035
131	0.05051580608
132	0.05047728616
133	0.05040670446
134	0.05032888763
135	0.05018389317
136	0.05008534024
137	0.05002549586
138	0.04998932038
139	0.04995180791
140	0.04984522617
141	0.04976476254
142	0.04970042991
143	0.04962218826
144	0.04956050887
145	0.0494957357
146	0.04939333095
147	0.04937693607
148	0.04928300279
149	0.04916843461
150	0.04909793115
151	0.04909096591
152	0.04903513891
153	0.04893883534
154	0.04888054825
155	0.04876199828
156	0.04871261844
157	0.04862916558
158	0.04853907052
159	0.04845172338
160	0.04841956799
161	0.04834136486
162	0.04828834593
163	0.0481951504
164	0.0481418894
165	0.0480254654
166	0.04793654008
167	0.04789821295
168	0.04783911017
169	0.04770165441
170	0.04762182556
171	0.04758586425
172	0.04752339372
173	0.04746261739
174	0.04739043031
175	0.04726668925
176	0.0471504519
177	0.04709454226
178	0.04706037723
179	0.04697593843
180	0.04689332434
181	0.04679413825
182	0.04675627927
183	0.04668792786
184	0.04662514075
185	0.04656982115
186	0.04648322835
187	0.04641975785
188	0.04636104242
189	0.04632166279
190	0.04625384973
191	0.0461704891
192	0.04612972154
193	0.04604151649
194	0.04600534087
195	0.04593784938
196	0.0458778826
197	0.04576254473
